Allandale Rhyolite	10.9200	6.5000	10.9200	6.5000
Allard Lake	1400.0000	1300.0000	1400.0000	1300.0000
Allegheny Fm	308.0000	307.0000	308.0000	307.0000
Allegheny Fm	315.2000	308.0000	308.0000	307.0000
Allegheny Gp	308.0000	307.0000	308.0000	307.0000
Allen Bay	443.4000	440.8000	427.4000	423.0000
Allen Bay	440.8000	438.5000	433.4000	427.4000
Allen Bay	452.0000	450.0000	450.0000	445.2000
Allen Bay	443.4000	440.8000	433.4000	427.4000
Allen Bay	452.0000	450.0000	433.4000	427.4000
Allen Bay	427.4000	423.0000	427.4000	423.0000
Allen Bay Fm	452.0000	450.0000	450.0000	445.2000
Allen Bay Fm	443.4000	440.8000	443.4000	440.8000
Allen Bay Fm	443.4000	440.8000	440.8000	438.5000
Allen Bay Fm	452.0000	450.0000	433.4000	427.4000
Allen Bay Fm	452.0000	450.0000	445.2000	443.4000
Allen Bay Fm	443.4000	440.8000	427.4000	423.0000
Allen Bay Fm	443.4000	440.8000	433.4000	427.4000
Allen Bay Fm and Read Bay Fm	452.0000	450.0000	427.4000	423.0000
Allen Bay Fm and Read Bay Fm	452.0000	450.0000	419.2000	410.8000
Allen Dlae Fm	86.3000	83.6000	83.6000	72.1000
Allen Ridge Fm	89.8000	86.3000	89.8000	86.3000
Allen Ridge Fm	89.8000	86.3000	86.3000	83.6000
Allentown Fm	501.0000	496.8000	492.5000	485.4000
Alligator Back Fm	2500.0000	541.0000	2500.0000	541.0000
Allingtown Metavolcanics	477.7000	470.0000	477.7000	470.0000
Allison Camp Intrusive Rhyolite	28.1000	23.0300	28.1000	23.0300
Allison Sand Bed	28.1000	23.0300	28.1000	23.0300
Allmoore Fm	2500.0000	541.0000	2500.0000	541.0000
Allochthon Fm	358.9000	346.7000	290.1000	279.3000
Alloway Clay Mbr	23.0300	20.4400	23.0300	20.4400
alluvium	2.5880	0.0117	0.0117	0.0000
alluvium	0.0117	0.0000	0.0117	0.0000
Almond Fm	83.6000	72.1000	83.6000	72.1000
Almstrom Creek Fm	199.3000	190.8000	182.7000	174.1000
Alpena Limestone	387.7000	382.7000	387.7000	382.7000
Alsate Shale	477.7000	470.0000	477.7000	470.0000
Alsea Fm	38.0000	33.9000	28.1000	23.0300
Alta Andesite	20.4400	15.9700	20.4400	15.9700
Alta Stock	33.9000	28.1000	28.1000	23.0300
Altamaha Fm of Hawthorne Gp	13.8200	11.6200	13.8200	11.6200
Altamaha Fm of Hawthorne Gp	23.0300	20.4400	23.0300	20.4400
Altamira Fm	38.0000	33.9000	28.1000	23.0300
Altamont Fm	308.0000	307.0000	308.0000	307.0000
Altin	280.0000	272.3000	259.9000	254.1400
Alto Fm	387.7000	382.7000	382.7000	379.0000
Altyn	1600.0000	1000.0000	1600.0000	1000.0000
Altyn Fm	1600.0000	1300.0000	1400.0000	1300.0000
Altyn Fm	1600.0000	1000.0000	1600.0000	1000.0000
Altyn Fm	2500.0000	541.0000	2500.0000	541.0000
Alverson Volcanics	23.0300	20.4400	15.9700	13.8200
Amaragosa Chaos	13.8200	11.6200	11.6200	7.2460
Amaranth	199.3000	190.8000	170.3000	168.3000
Amaranth Fm	174.1000	170.3000	174.1000	170.3000
Amasa Fm	2500.0000	541.0000	2500.0000	541.0000
Amate Inferior Fm	13.8200	11.6200	3.6000	2.5880
Amate Superior Fm	3.6000	2.5880	3.6000	2.5880
Amberg Quartz Monzonite	2500.0000	541.0000	2500.0000	541.0000
Amboy Clay Mbr	86.3000	83.6000	86.3000	83.6000
Ames Mbr of Conemaugh Fm	307.0000	305.0000	305.0000	298.9000
Ames Mbr of Conemaugh Fm	307.0000	305.0000	307.0000	305.0000
Ames Xnob Fm	443.4000	440.8000	433.4000	427.4000
Amherstburg Fm	407.6000	393.3000	393.3000	387.7000
Amherstburg Fm	393.3000	387.7000	393.3000	387.7000
Amina Fm	139.8000	132.9000	129.4000	125.0000
Amisk Gp	4000.0000	2500.0000	4000.0000	2500.0000
Ammonoosuc Volcanics	470.0000	464.0000	464.0000	458.4000
Amphistegina Shale Mbr	23.0300	20.4400	7.2460	5.3330
Amphitheatre	66.0000	56.0000	56.0000	33.9000
Amphitheatre	56.0000	33.9000	23.0300	5.3330
Amsden Fm	323.2000	315.2000	315.2000	308.0000
Amsden Fm	308.0000	307.0000	305.0000	298.9000
Amsden Fm	315.2000	308.0000	315.2000	308.0000
Amsden Fm	308.0000	307.0000	307.0000	305.0000
Amsden Fm	333.0000	323.2000	315.2000	308.0000
Amundsen Land Gp	477.7000	470.0000	443.4000	440.8000
Amuri Limestone	34.3000	27.3000	34.3000	27.3000
Amuri Limestone	55.5000	53.0000	43.0000	37.0000
Amuri Limestone	43.0000	37.0000	37.0000	36.0000
Amuri Limestone	36.0000	34.3000	34.3000	27.3000
Amuri Limestone	55.5000	53.0000	37.0000	36.0000
Amuri Limestone	53.0000	49.5000	43.0000	37.0000
Amuri Limestone	37.0000	36.0000	34.3000	27.3000
Amuri Limestone	55.5000	53.0000	46.2000	43.0000
Amuri Limestone	43.0000	37.0000	43.0000	37.0000
Amuri Limestone	55.5000	53.0000	36.0000	34.3000
Amuri Limestone	84.0000	65.0000	43.0000	37.0000
Amy Creek	443.4000	438.5000	423.0000	419.2000
Anacacho Fm	83.6000	72.1000	83.6000	72.1000
Anacacho Limestone	86.3000	83.6000	83.6000	72.1000
Anahuac	28.1000	23.0300	28.1000	23.0300
Anahuac Fm	28.1000	23.0300	23.0300	20.4400
Anahuac Fm	28.1000	23.0300	20.4400	15.9700
Anahuac Fm	23.0300	20.4400	23.0300	20.4400
Anakeesta Fm	2500.0000	541.0000	2500.0000	541.0000
Anapra Sandstone	100.5000	93.9000	100.5000	93.9000
Anarchist	323.2000	315.2000	228.0000	208.5000
Anastasia Fm	2.5880	0.0117	2.5880	0.0117
Ancha Fm of Santa Fe Gp	5.3330	3.6000	2.5880	0.0117
Anchor Bay Mbr	86.3000	83.6000	59.2000	56.0000
Anchor Limestone Mbr of Monte Cristo	348.0000	340.0000	348.0000	340.0000
Ancon Fm	72.1000	66.0000	56.0000	47.8000
Anderdon	393.3000	387.7000	393.3000	387.7000
